,caseNumber,gender,age,activity
2188,1998.05.25,M,40,Surfing
2189,1998.05.16.c,F,14,Swimming
2190,1998.05.16.b,M,24,Swimming / surfing
2191,1998.05.16.a,M,22,Body boarding
2192,1998.04.26,F,35,Towing rubber dinghy
2193,1998.04.21,M,50,Surfing (lying prone on his board)
2194,1998.04.17,M,16,Scuba diving
2195,1998.04.01,M,,Swimming 
2196,1998.04.00,,,
2197,1998.03.31,M,40,Swimming
2198,1998.03.15,M,33,Snorkeling  hunting crayfish and abalone
2199,1998.03.08.a,M,32,Swimming or paddle boarding
2200,1998.02.23,M,,Swimming
2201,1998.01.28.R ,M,31,Spearfishing
2202,1998.01.28.a,M,,Windsurfing
2203,1998.01.25.b,M,,Bathing
2204,1998.01.25.a,M,21,Surfing
2205,1998.01.17,M,,Surfing
2206,1998.01.14,M,23,Surfing
2207,1998.00.00.c,M,28,Surfing
2208,1998.00.00.b,,,Diving
2209,1998.00.00.a,M,,Spearfishing on scuba & transferring fish onto a stringer
2210,1997.12.28.b,M,39,Spearfishing
2211,1997.12.28.a,M,,Sitting on surfboard
2212,1997.12.25.b,F,29,
2213,1997.12.25.a,M,8,Swimming
2214,1997.11.09,M,42,Scuba diving (submerged riding a scooter)
2215,1997.11.05.R,M,32,Swimming
2216,1997.11.05,M,21,Unknown
2217,1997.10.28.b,M,51,Surf-skiing
2218,1997.10.28.a,M,19,Body boarding or surfing
2219,1997.10.24,M,23,Surfing
2220,1997.10.21,M,12,Surfing
2221,1997.10.11.R,,,Fishingat
2222,1997.10.04,F,14,Swimming
2223,1997.09.16,M,20,Swimming
2224,1997.09.09,M,12,Surfing
2225,1997.09.08,,17,Surfing
2226,1997.09.06,M,20,Surfing
2227,1997.08.30,M,18,Surfing
2228,1997.08.27,M,22,Walking / surfing
2229,1997.08.24,M,29,Surfing (sitting on his board)
2230,1997.08.14.b,M,28,SCUBA diving
2231,1997.08.14.a,M,33,SCUBA diving
2232,1997.08.11.c,F,12,Floating on raft
2233,1997.08.11.b,M,17,Fishing
2234,1997.08.11.a,M,16,Fishing
2235,1997.08.10,M,17,Boogie boarding
2236,1997.08.09,M,,Surfing
2237,1997.08.05,F,10,Wading
2238,1997.08.04,M,,Wade-fishing
2239,1997.08.02.b,M,17,Body surfing
2240,1997.08.02.a,M,19,Wading / Surfing
2241,1997.07.27,M,19,Surfing
2242,1997.07.21,M,25,Surfing
2243,1997.07.17,M,,Surfing
2244,1997.07.14,M,50,Standing
2245,1997.07.12,M,55,Fishing for octopus
2246,1997.07.02.R,,,Surfing
2247,1997.06.24,M,,Spearfishing / night diving
2248,1997.06.15,F,47,Snorkeling
2249,1997.06.09,M,18,Surfing
2250,1997.06.07,M,,Bathing
2251,1997.06.02,M,33,"Body surfing, stood up on sandbar"
2252,1997.05.31.c,M,35,Spearfishing
2253,1997.05.31.b,M,34,Surfing
2254,1997.05.31.a,M,12,Surfing
2255,1997.05.26,M,54,Spearfishing
2256,1997.05.17,M,,Spearfishing
2257,1997.04.20,M,22,Windsurfing
2258,1997.02.28.b,F,21,Swimming
2259,1997.02.28.a,M, 30,Scuba diving
2260,1997.02.21,M,,
2261,1997.02.20,M,,
2262,1997.02.03,F,49,Rowing 
2263,1997.01.25,M,27,Snorkeling
2264,1997.01.20,M,41,Windsurfing
2265,1997.01.03.a,M,,Spearfishing
2266,1997.01.01,,,Watching seals
2267,1996.12.29,M,18,Surfing
2268,1996.12.10,M,,Surfing
2269,1996.12.00.b,M,,Spearfishing
2270,1996.12.00.a,F,,Attempting to attract dolphins
2271,1996.11.29.a,M,45,Surfing
2272,1996.11.18,M,26,Surfing
2273,1996.10.28.b,,,Surfing
2274,1996.10.28.a,M,,Surfing
2275,1996.10.09,M,,Swimming or snorkeling
2276,1996.10.05.,M,22,Surfing
2277,1996.10.03.b,M,21,Surfing
2278,1996.10.03.a,M,31,Surfing
2279,1996.10.00,,,
2280,1996.09.18,M,14,Swimming
2281,1996.09.06.b,M,23,Diving for abalone
2282,1996.09.06.a,M,19,Surfing / Swimming
2283,1996.09.02.b,M,5,Standing
2284,1996.09.02.a,M,28,Sitting on surfboard
2285,1996.09.01.b,F,28,Boogie boarding
2286,1996.09.01.a,M,29,Spearfishing
2287,1996.08.29,M,19,Body Boarding
2288,1996.08.13,M,36,Free diving for abalone
2289,1996.08.11,M,21,Wade fishing
2290,1996.07.26,F,8,Standing
2291,1996.07.23.b,M,52,Swimming
2292,1996.07.23.a,M,,Free diving with a pod of dolphins
2293,1996.07.21,M,46,Swimming
2294,1996.07.20,M,9,Swimming
2295,1996.07.14,,,
2296,1996.07.10,M,18,
2297,1996.07.04.b,F,63,Standing
2298,1996.07.04.a,M,24,Diving
2299,1996.06.25,F,24,Body surfing
2300,1996.06.06,M,,Surfing
2301,1996.06.04,M,,Surfing
2302,1996.05.28,M,17,Surfing
2303,1996.05.24,M,45,Tech diving 
2304,1996.05.18,M,22,Surfing
2305,1996.05.10,M,33,Shell Diving
2306,1996.05.07,M,27,Surfing
2307,1996.04.28.b,M,,
2308,1996.04.25.b,M,11,Swimming
2309,1996.04.25.a,F,16,Swimming
2310,1996.04.07,M,,Swimming
2311,1996.03.05,F,47,Swimming breast stoke
2312,1996.03.00,M,7,Fishing in knee-deep water
2313,1996.02.26,M,24,Dived naked into the water on a bet
2314,1996.02.19.R,F,32,Swimming in fish tank
2315,1996.02.10.c,M,,
2316,1996.02.10.b,,,
2317,1996.02.10.a,,14,Diving 
2318,1996.02.05,,,Boeing 757 enroute from Porta Plata plunged into the sea
2319,1996.02.04,M,7,Swimming
2320,1996.01.23,M,33,Wading
2321,1996.01.22,F,13,Swimming
2322,1996.01.16,M,53,Swimming with mask & snorkel
2323,1996.01.14.b,,,
2324,1996.01.12,,,Chumming for sharks
2325,1996.01.10,M,25,Surfing
2326,1996.00.00.b,M,,
2327,1996.00.00.a,M,,Surfing
2328,1995.12.18,M,,
2329,1995.11.29,M,22,"Diving, gathering shellfish"
